timestamp,sensor_zone,soil_moisture_pct,drone_active,crop_health_index,irrigation_triggered,temperature_celsius,rainfall_mm
2024-06-15T06:00:00,Zone-A,72.4,false,8.1,false,22.3,0.0
2024-06-15T06:30:00,Zone-A,71.8,false,8.1,false,22.7,0.0
2024-06-15T07:00:00,Zone-A,70.9,false,8.0,false,23.5,0.0
2024-06-15T07:30:00,Zone-A,69.5,false,8.0,false,24.1,0.0
2024-06-15T08:00:00,Zone-A,67.2,false,7.9,false,25.4,0.0
2024-06-15T08:30:00,Zone-A,64.8,true,7.8,false,26.2,0.0
2024-06-15T09:00:00,Zone-A,61.1,true,7.7,false,27.8,0.0
2024-06-15T09:30:00,Zone-A,57.3,true,7.5,false,29.1,0.0
2024-06-15T10:00:00,Zone-A,53.4,true,7.3,true,30.5,0.0
2024-06-15T10:30:00,Zone-A,58.6,true,7.3,true,30.8,0.0
2024-06-15T11:00:00,Zone-A,62.1,true,7.2,true,31.2,0.2
2024-06-15T11:30:00,Zone-A,64.7,false,7.3,false,31.0,1.4
2024-06-15T12:00:00,Zone-A,66.2,false,7.4,false,30.5,2.1
2024-06-15T12:30:00,Zone-A,67.9,false,7.5,false,30.1,1.8
2024-06-15T13:00:00,Zone-A,68.5,false,7.5,false,29.8,0.9
2024-06-15T13:30:00,Zone-A,68.0,false,7.6,false,29.5,0.4
2024-06-15T14:00:00,Zone-A,66.8,false,7.6,false,30.2,0.0
2024-06-15T14:30:00,Zone-A,64.3,true,7.5,false,31.1,0.0
2024-06-15T15:00:00,Zone-A,61.7,true,7.4,false,32.0,0.0
2024-06-15T15:30:00,Zone-A,59.2,true,7.3,false,32.5,0.0
2024-06-15T06:00:00,Zone-B,68.1,false,7.6,false,22.1,0.0
2024-06-15T06:30:00,Zone-B,67.9,false,7.6,false,22.5,0.0
2024-06-15T07:00:00,Zone-B,67.4,false,7.5,false,23.3,0.0
2024-06-15T07:30:00,Zone-B,66.8,false,7.5,false,23.9,0.0
2024-06-15T08:00:00,Zone-B,65.5,false,7.4,false,25.1,0.0
2024-06-15T08:30:00,Zone-B,63.2,true,7.3,false,26.0,0.0
2024-06-15T09:00:00,Zone-B,59.7,true,7.1,false,27.5,0.0
2024-06-15T09:30:00,Zone-B,54.9,true,6.9,false,29.0,0.0
2024-06-15T10:00:00,Zone-B,49.3,true,6.6,true,30.3,0.0
2024-06-15T10:30:00,Zone-B,55.1,true,6.7,true,30.6,0.0
2024-06-15T11:00:00,Zone-B,59.8,true,6.8,false,31.0,0.2
2024-06-15T11:30:00,Zone-B,62.4,false,6.9,false,31.0,1.4
2024-06-15T12:00:00,Zone-B,64.1,false,7.0,false,30.5,2.1
2024-06-15T12:30:00,Zone-B,65.3,false,7.1,false,30.1,1.8
2024-06-15T13:00:00,Zone-B,65.7,false,7.1,false,29.8,0.9
2024-06-15T13:30:00,Zone-B,65.2,false,7.2,false,29.5,0.4
2024-06-15T14:00:00,Zone-B,63.9,false,7.2,false,30.2,0.0
2024-06-15T14:30:00,Zone-B,61.4,true,7.1,false,31.1,0.0
2024-06-15T15:00:00,Zone-B,58.6,true,7.0,false,32.0,0.0
2024-06-15T15:30:00,Zone-B,55.9,true,6.9,false,32.5,0.0
2024-06-15T06:00:00,Zone-C,80.3,false,8.5,false,21.9,0.0
2024-06-15T06:30:00,Zone-C,79.8,false,8.5,false,22.3,0.0
2024-06-15T07:00:00,Zone-C,79.1,false,8.4,false,23.1,0.0
2024-06-15T07:30:00,Zone-C,78.3,false,8.4,false,23.7,0.0
2024-06-15T08:00:00,Zone-C,77.2,false,8.3,false,24.9,0.0
2024-06-15T08:30:00,Zone-C,75.8,false,8.3,false,25.8,0.0
2024-06-15T09:00:00,Zone-C,74.1,false,8.2,false,27.2,0.0
2024-06-15T09:30:00,Zone-C,72.5,false,8.2,false,28.6,0.0
2024-06-15T10:00:00,Zone-C,70.8,false,8.1,false,30.1,0.0
2024-06-15T10:30:00,Zone-C,69.4,false,8.1,false,30.4,0.0
2024-06-15T11:00:00,Zone-C,68.0,false,8.0,false,30.8,0.2
2024-06-15T11:30:00,Zone-C,67.1,false,8.0,false,30.7,1.4
2024-06-15T12:00:00,Zone-C,66.8,false,8.1,false,30.3,2.1
2024-06-15T12:30:00,Zone-C,67.2,false,8.1,false,30.0,1.8
2024-06-15T13:00:00,Zone-C,67.5,false,8.2,false,29.7,0.9
2024-06-15T13:30:00,Zone-C,67.0,false,8.2,false,29.4,0.4
2024-06-15T14:00:00,Zone-C,66.1,false,8.1,false,30.1,0.0
2024-06-15T14:30:00,Zone-C,64.9,false,8.1,false,31.0,0.0
2024-06-15T15:00:00,Zone-C,63.5,true,8.0,false,31.8,0.0
2024-06-15T15:30:00,Zone-C,62.0,true,8.0,false,32.3,0.0
2024-06-15T06:00:00,Zone-D,74.6,false,8.3,false,22.0,0.0
2024-06-15T06:30:00,Zone-D,74.1,false,8.3,false,22.4,0.0
2024-06-15T07:00:00,Zone-D,73.3,false,8.2,false,23.2,0.0
2024-06-15T07:30:00,Zone-D,72.0,false,8.2,false,23.8,0.0
2024-06-15T08:00:00,Zone-D,70.1,false,8.1,false,25.0,0.0
2024-06-15T08:30:00,Zone-D,67.5,false,8.0,false,25.9,0.0
2024-06-15T09:00:00,Zone-D,63.9,true,7.9,false,27.4,0.0
2024-06-15T09:30:00,Zone-D,59.8,true,7.7,false,28.8,0.0
2024-06-15T10:00:00,Zone-D,55.2,true,7.5,false,30.2,0.0
2024-06-15T10:30:00,Zone-D,50.4,true,7.2,true,30.6,0.0
2024-06-15T11:00:00,Zone-D,55.7,true,7.2,true,30.9,0.2
2024-06-15T11:30:00,Zone-D,59.3,true,7.3,false,30.8,1.4
2024-06-15T12:00:00,Zone-D,62.8,false,7.4,false,30.4,2.1
2024-06-15T12:30:00,Zone-D,65.1,false,7.5,false,30.0,1.8
2024-06-15T13:00:00,Zone-D,66.3,false,7.6,false,29.7,0.9
2024-06-15T13:30:00,Zone-D,65.9,false,7.6,false,29.4,0.4
2024-06-15T14:00:00,Zone-D,64.4,false,7.5,false,30.1,0.0
2024-06-15T14:30:00,Zone-D,62.0,true,7.5,false,31.0,0.0
2024-06-15T15:00:00,Zone-D,59.3,true,7.4,false,31.8,0.0
2024-06-15T15:30:00,Zone-D,56.7,true,7.3,false,32.3,0.0
